at x=27; y=0;facet=5
at x=208; y=0;facet=1
at x=83; y=1;facet=6
at x=84; y=1;facet=6
at x=209; y=1;facet=5
at x=208; y=2;facet=6
at x=209; y=2;facet=6
at x=80; y=4;facet=5
at x=209; y=4;facet=5
at x=219; y=4;facet=3
at x=220; y=4;facet=5
at x=219; y=5;facet=2
at x=220; y=5;facet=4
at x=224; y=5;facet=5
at x=219; y=6;facet=4
at x=217; y=7;facet=3
at x=219; y=7;facet=6
at x=221; y=7;facet=2
at x=210; y=8;facet=1
at x=112; y=9;facet=4
at x=158; y=9;facet=5
at x=229; y=9;facet=1
at x=230; y=9;facet=2
at x=13; y=10;facet=1
at x=221; y=10;facet=2
at x=222; y=10;facet=5
at x=223; y=10;facet=2
at x=231; y=10;facet=1
at x=76; y=11;facet=5
at x=195; y=11;facet=1
at x=200; y=11;facet=5
at x=202; y=11;facet=1
at x=230; y=11;facet=4
at x=219; y=12;facet=5
at x=198; y=13;facet=6
at x=218; y=13;facet=3
at x=220; y=13;facet=6
at x=80; y=14;facet=2
at x=218; y=14;facet=3
at x=229; y=14;facet=3
at x=49; y=15;facet=5
at x=79; y=15;facet=3
at x=207; y=15;facet=3
at x=217; y=15;facet=6
at x=69; y=16;facet=5
at x=123; y=16;facet=3
at x=227; y=16;facet=5
at x=1; y=17;facet=4
at x=146; y=17;facet=3
at x=203; y=17;facet=2
at x=213; y=17;facet=2
at x=222; y=17;facet=3
at x=227; y=17;facet=5
at x=195; y=18;facet=4
at x=216; y=18;facet=5
at x=228; y=18;facet=5
at x=57; y=19;facet=2
at x=195; y=19;facet=5
at x=215; y=19;facet=2
at x=220; y=19;facet=5
at x=221; y=19;facet=6
at x=228; y=19;facet=4
at x=58; y=20;facet=3
at x=217; y=20;facet=3
at x=220; y=20;facet=6
at x=225; y=20;facet=2
at x=201; y=21;facet=2
at x=214; y=22;facet=6
at x=217; y=22;facet=3
at x=219; y=22;facet=3
at x=223; y=22;facet=3
at x=226; y=22;facet=5
at x=213; y=23;facet=5
at x=210; y=25;facet=6
at x=217; y=25;facet=3
at x=224; y=25;facet=2
at x=208; y=26;facet=6
at x=216; y=26;facet=3
at x=218; y=26;facet=4
at x=208; y=28;facet=6
at x=215; y=28;facet=4
at x=217; y=28;facet=2
at x=216; y=30;facet=3
at x=1; y=32;facet=4
at x=208; y=32;facet=5
at x=5; y=33;facet=6
at x=240; y=35;facet=1
at x=118; y=36;facet=1
at x=221; y=36;facet=1
at x=7; y=37;facet=1
at x=222; y=37;facet=1
at x=225; y=37;facet=2
at x=240; y=37;facet=1
at x=168; y=38;facet=5
at x=170; y=38;facet=1
at x=195; y=38;facet=4
at x=225; y=38;facet=3
at x=227; y=38;facet=2
at x=196; y=39;facet=5
at x=226; y=39;facet=6
at x=164; y=41;facet=2
at x=203; y=41;facet=1
at x=164; y=42;facet=4
at x=194; y=44;facet=2
at x=204; y=44;facet=3
at x=55; y=46;facet=1
at x=189; y=46;facet=3
at x=202; y=46;facet=1
at x=222; y=46;facet=1
at x=57; y=47;facet=4
at x=191; y=47;facet=4
at x=192; y=47;facet=6
at x=194; y=47;facet=5
at x=200; y=47;facet=2
at x=201; y=47;facet=5
at x=55; y=48;facet=4
at x=199; y=48;facet=5
at x=205; y=48;facet=1
at x=223; y=48;facet=4
at x=48; y=49;facet=4
at x=51; y=49;facet=4
at x=54; y=49;facet=3
at x=56; y=49;facet=3
at x=187; y=49;facet=1
at x=193; y=49;facet=4
at x=194; y=49;facet=3
at x=197; y=49;facet=1
at x=202; y=49;facet=1
at x=205; y=49;facet=6
at x=216; y=49;facet=1
at x=223; y=49;facet=3
at x=45; y=50;facet=4
at x=187; y=50;facet=6
at x=198; y=50;facet=2
at x=202; y=50;facet=5
at x=219; y=50;facet=1
at x=221; y=50;facet=5
at x=222; y=50;facet=1
at x=57; y=51;facet=1
at x=60; y=51;facet=4
at x=191; y=51;facet=3
at x=194; y=51;facet=5
at x=200; y=51;facet=6
at x=217; y=51;facet=2
at x=220; y=51;facet=4
at x=222; y=51;facet=4
at x=55; y=52;facet=1
at x=57; y=52;facet=3
at x=192; y=52;facet=4
at x=199; y=52;facet=1
at x=200; y=52;facet=1
at x=215; y=52;facet=6
at x=216; y=52;facet=1
at x=217; y=52;facet=6
at x=51; y=53;facet=4
at x=57; y=53;facet=6
at x=58; y=53;facet=5
at x=212; y=53;facet=2
at x=215; y=53;facet=3
at x=218; y=53;facet=4
at x=222; y=53;facet=2
at x=54; y=54;facet=2
at x=188; y=54;facet=1
at x=197; y=54;facet=6
at x=201; y=54;facet=4
at x=203; y=54;facet=3
at x=215; y=54;facet=4
at x=54; y=55;facet=6
at x=57; y=55;facet=4
at x=202; y=55;facet=1
at x=53; y=56;facet=2
at x=58; y=56;facet=5
at x=190; y=56;facet=5
at x=195; y=56;facet=6
at x=204; y=56;facet=6
at x=254; y=56;facet=4
at x=54; y=57;facet=4
at x=194; y=57;facet=2
at x=211; y=57;facet=2
at x=40; y=58;facet=2
at x=134; y=59;facet=3
at x=163; y=59;facet=4
at x=201; y=59;facet=4
at x=40; y=60;facet=5
at x=136; y=60;facet=1
at x=175; y=60;facet=2
at x=208; y=60;facet=6
at x=212; y=60;facet=3
at x=40; y=61;facet=3
at x=134; y=61;facet=2
at x=191; y=61;facet=3
at x=4; y=62;facet=3
at x=39; y=62;facet=2
at x=69; y=62;facet=4
at x=192; y=62;facet=5
at x=206; y=62;facet=3
at x=68; y=63;facet=2
at x=71; y=63;facet=2
at x=89; y=63;facet=2
at x=164; y=63;facet=2
at x=165; y=63;facet=1
at x=202; y=64;facet=1
at x=204; y=64;facet=4
at x=205; y=64;facet=4
at x=65; y=65;facet=4
at x=68; y=65;facet=1
at x=204; y=65;facet=6
at x=205; y=65;facet=3
at x=18; y=66;facet=3
at x=66; y=66;facet=3
at x=67; y=66;facet=6
at x=68; y=66;facet=2
at x=105; y=66;facet=4
at x=190; y=66;facet=5
at x=19; y=67;facet=3
at x=65; y=67;facet=2
at x=66; y=67;facet=3
at x=67; y=67;facet=2
at x=68; y=67;facet=5
at x=161; y=67;facet=2
at x=163; y=67;facet=5
at x=166; y=67;facet=2
at x=168; y=67;facet=1
at x=191; y=67;facet=4
at x=12; y=68;facet=3
at x=65; y=68;facet=5
at x=162; y=68;facet=2
at x=189; y=68;facet=4
at x=198; y=68;facet=4
at x=231; y=68;facet=2
at x=106; y=69;facet=4
at x=70; y=70;facet=6
at x=197; y=70;facet=6
at x=199; y=70;facet=3
at x=63; y=71;facet=3
at x=69; y=71;facet=4
at x=134; y=71;facet=3
at x=196; y=71;facet=1
at x=0; y=72;facet=1
at x=64; y=72;facet=1
at x=197; y=72;facet=3
at x=199; y=73;facet=1
at x=115; y=74;facet=3
at x=61; y=75;facet=4
at x=62; y=75;facet=5
at x=116; y=75;facet=4
at x=134; y=75;facet=3
at x=55; y=76;facet=1
at x=59; y=76;facet=6
at x=60; y=76;facet=6
at x=193; y=76;facet=4
at x=57; y=77;facet=4
at x=65; y=77;facet=5
at x=117; y=77;facet=2
at x=61; y=78;facet=1
at x=116; y=78;facet=6
at x=134; y=78;facet=5
at x=38; y=79;facet=4
at x=160; y=79;facet=6
at x=164; y=79;facet=4
at x=40; y=80;facet=5
at x=48; y=80;facet=2
at x=51; y=80;facet=5
at x=62; y=80;facet=5
at x=117; y=80;facet=2
at x=160; y=80;facet=1
at x=42; y=81;facet=4
at x=50; y=81;facet=4
at x=61; y=81;facet=5
at x=120; y=81;facet=3
at x=160; y=81;facet=3
at x=49; y=82;facet=1
at x=51; y=82;facet=1
at x=52; y=82;facet=3
at x=79; y=82;facet=4
at x=118; y=82;facet=3
at x=0; y=83;facet=6
at x=43; y=83;facet=1
at x=46; y=83;facet=3
at x=48; y=83;facet=4
at x=118; y=83;facet=6
at x=158; y=83;facet=6
at x=49; y=84;facet=1
at x=116; y=84;facet=1
at x=131; y=84;facet=1
at x=63; y=86;facet=2
at x=46; y=87;facet=4
at x=116; y=88;facet=3
at x=46; y=89;facet=6
at x=117; y=89;facet=5
at x=39; y=90;facet=1
at x=44; y=90;facet=1
at x=44; y=91;facet=4
at x=64; y=92;facet=3
at x=44; y=94;facet=5
at x=45; y=95;facet=5
at x=114; y=95;facet=6
at x=174; y=95;facet=3
at x=28; y=96;facet=1
at x=111; y=96;facet=1
at x=110; y=97;facet=2
at x=46; y=98;facet=2
at x=154; y=98;facet=3
at x=154; y=99;facet=3
at x=86; y=100;facet=4
at x=44; y=101;facet=6
at x=86; y=101;facet=6
at x=77; y=102;facet=5
at x=5; y=103;facet=2
at x=86; y=103;facet=5
at x=110; y=104;facet=2
at x=149; y=104;facet=4
at x=158; y=104;facet=3
at x=21; y=105;facet=1
at x=110; y=105;facet=1
at x=87; y=106;facet=3
at x=111; y=106;facet=3
at x=146; y=109;facet=6
at x=148; y=110;facet=6
at x=136; y=113;facet=4
at x=34; y=114;facet=5
at x=143; y=114;facet=1
at x=145; y=116;facet=6
at x=144; y=117;facet=2
at x=87; y=118;facet=6
at x=92; y=118;facet=6
at x=148; y=119;facet=2
at x=189; y=121;facet=2
at x=77; y=125;facet=2
at x=105; y=125;facet=2
at x=110; y=125;facet=2
at x=202; y=125;facet=1
at x=104; y=126;facet=1
at x=128; y=126;facet=5
at x=100; y=127;facet=5
at x=95; y=128;facet=4
at x=106; y=128;facet=5
at x=107; y=128;facet=3
at x=109; y=128;facet=6
at x=97; y=129;facet=3
at x=125; y=130;facet=6
at x=106; y=131;facet=4
at x=99; y=132;facet=6
at x=126; y=133;facet=5
at x=188; y=135;facet=6
at x=19; y=136;facet=3
at x=20; y=136;facet=2
at x=79; y=136;facet=6
at x=127; y=137;facet=4
at x=79; y=138;facet=1
at x=126; y=138;facet=3
at x=95; y=140;facet=1
at x=127; y=141;facet=5
at x=99; y=142;facet=4
at x=101; y=142;facet=3
at x=105; y=142;facet=1
at x=30; y=144;facet=3
at x=104; y=144;facet=4
at x=130; y=144;facet=3
at x=133; y=144;facet=5
at x=105; y=145;facet=4
at x=126; y=145;facet=3
at x=197; y=145;facet=2
at x=28; y=146;facet=6
at x=88; y=146;facet=2
at x=136; y=146;facet=6
at x=101; y=147;facet=2
at x=130; y=147;facet=3
at x=188; y=148;facet=5
at x=142; y=150;facet=4
at x=109; y=151;facet=5
at x=188; y=151;facet=6
at x=95; y=152;facet=4
at x=109; y=152;facet=4
at x=113; y=152;facet=1
at x=142; y=152;facet=4
at x=188; y=152;facet=4
at x=97; y=153;facet=3
at x=70; y=154;facet=1
at x=121; y=154;facet=5
at x=141; y=154;facet=1
at x=241; y=154;facet=1
at x=110; y=155;facet=6
at x=111; y=155;facet=1
at x=132; y=155;facet=4
at x=147; y=155;facet=1
at x=248; y=157;facet=3
at x=116; y=158;facet=3
at x=119; y=158;facet=4
at x=247; y=158;facet=5
at x=88; y=159;facet=1
at x=140; y=159;facet=3
at x=145; y=159;facet=2
at x=67; y=160;facet=1
at x=113; y=160;facet=6
at x=140; y=160;facet=1
at x=143; y=161;facet=3
at x=102; y=162;facet=6
at x=103; y=163;facet=3
at x=119; y=163;facet=5
at x=139; y=163;facet=4
at x=105; y=164;facet=6
at x=120; y=164;facet=4
at x=130; y=164;facet=3
at x=133; y=164;facet=1
at x=142; y=164;facet=4
at x=252; y=164;facet=4
at x=120; y=165;facet=6
at x=128; y=165;facet=1
at x=132; y=165;facet=6
at x=127; y=166;facet=4
at x=148; y=166;facet=3
at x=251; y=166;facet=2
at x=131; y=167;facet=3
at x=128; y=169;facet=2
at x=142; y=169;facet=6
at x=96; y=170;facet=2
at x=95; y=172;facet=2
at x=134; y=172;facet=6
at x=95; y=173;facet=2
at x=144; y=173;facet=3
at x=103; y=174;facet=4
at x=90; y=175;facet=1
at x=103; y=175;facet=6
at x=112; y=175;facet=3
