at x=101; y=0;facet=5
at x=121; y=0;facet=4
at x=15; y=1;facet=4
at x=42; y=3;facet=6
at x=86; y=4;facet=4
at x=207; y=4;facet=3
at x=219; y=4;facet=5
at x=223; y=4;facet=5
at x=214; y=5;facet=5
at x=234; y=5;facet=2
at x=217; y=6;facet=3
at x=223; y=6;facet=5
at x=231; y=7;facet=5
at x=232; y=7;facet=6
at x=82; y=9;facet=4
at x=92; y=9;facet=2
at x=103; y=9;facet=4
at x=158; y=9;facet=4
at x=225; y=9;facet=4
at x=202; y=10;facet=6
at x=116; y=11;facet=1
at x=198; y=11;facet=2
at x=202; y=11;facet=6
at x=221; y=11;facet=1
at x=65; y=12;facet=6
at x=84; y=12;facet=6
at x=220; y=12;facet=2
at x=231; y=12;facet=6
at x=230; y=13;facet=3
at x=217; y=14;facet=2
at x=219; y=14;facet=4
at x=228; y=14;facet=2
at x=199; y=15;facet=5
at x=217; y=15;facet=2
at x=218; y=15;facet=1
at x=229; y=15;facet=4
at x=114; y=16;facet=4
at x=216; y=16;facet=6
at x=220; y=16;facet=5
at x=222; y=16;facet=3
at x=225; y=16;facet=6
at x=203; y=17;facet=1
at x=216; y=17;facet=2
at x=144; y=18;facet=3
at x=218; y=18;facet=1
at x=221; y=18;facet=2
at x=57; y=19;facet=6
at x=201; y=19;facet=4
at x=210; y=19;facet=5
at x=211; y=19;facet=4
at x=193; y=20;facet=6
at x=202; y=20;facet=3
at x=203; y=20;facet=4
at x=227; y=20;facet=3
at x=4; y=21;facet=1
at x=69; y=21;facet=2
at x=202; y=21;facet=6
at x=212; y=21;facet=5
at x=215; y=21;facet=2
at x=217; y=21;facet=6
at x=226; y=21;facet=3
at x=224; y=22;facet=4
at x=201; y=23;facet=3
at x=227; y=23;facet=5
at x=215; y=24;facet=2
at x=216; y=24;facet=1
at x=218; y=24;facet=4
at x=224; y=24;facet=6
at x=208; y=26;facet=1
at x=209; y=26;facet=4
at x=197; y=27;facet=2
at x=216; y=27;facet=3
at x=208; y=30;facet=4
at x=223; y=30;facet=2
at x=242; y=35;facet=4
at x=171; y=37;facet=3
at x=204; y=37;facet=2
at x=225; y=37;facet=4
at x=195; y=38;facet=3
at x=220; y=38;facet=1
at x=226; y=38;facet=6
at x=40; y=39;facet=5
at x=42; y=39;facet=3
at x=225; y=39;facet=2
at x=168; y=40;facet=3
at x=193; y=40;facet=4
at x=196; y=40;facet=5
at x=202; y=40;facet=4
at x=228; y=40;facet=5
at x=196; y=42;facet=3
at x=59; y=43;facet=4
