at x=99; y=0;facet=4
at x=100; y=0;facet=4
at x=44; y=1;facet=1
at x=42; y=3;facet=1
at x=215; y=4;facet=2
at x=211; y=5;facet=3
at x=223; y=5;facet=3
at x=234; y=5;facet=3
at x=212; y=6;facet=2
at x=218; y=6;facet=4
at x=223; y=6;facet=2
at x=200; y=7;facet=5
at x=210; y=7;facet=2
at x=216; y=7;facet=3
at x=230; y=7;facet=6
at x=232; y=7;facet=2
at x=82; y=8;facet=4
at x=202; y=8;facet=3
at x=227; y=8;facet=5
at x=229; y=8;facet=4
at x=254; y=8;facet=4
at x=220; y=9;facet=1
at x=82; y=10;facet=1
at x=220; y=10;facet=1
at x=233; y=10;facet=6
at x=28; y=12;facet=1
at x=65; y=12;facet=2
at x=191; y=12;facet=3
at x=199; y=12;facet=3
at x=207; y=12;facet=5
at x=221; y=12;facet=4
at x=35; y=13;facet=3
at x=82; y=13;facet=3
at x=213; y=13;facet=3
at x=221; y=13;facet=3
at x=229; y=13;facet=1
at x=202; y=14;facet=6
at x=219; y=14;facet=5
at x=206; y=15;facet=2
at x=220; y=15;facet=4
at x=112; y=16;facet=2
at x=217; y=16;facet=5
at x=229; y=16;facet=4
at x=198; y=17;facet=1
at x=198; y=18;facet=6
at x=202; y=18;facet=6
at x=27; y=19;facet=1
at x=23; y=20;facet=1
at x=193; y=20;facet=1
at x=215; y=20;facet=1
at x=227; y=20;facet=1
at x=228; y=20;facet=2
at x=4; y=21;facet=3
at x=227; y=21;facet=1
at x=30; y=22;facet=3
at x=198; y=22;facet=6
at x=224; y=22;facet=3
at x=226; y=22;facet=2
at x=31; y=23;facet=3
at x=32; y=23;facet=2
at x=204; y=23;facet=4
at x=220; y=23;facet=2
at x=225; y=23;facet=1
at x=226; y=23;facet=6
at x=215; y=24;facet=2
at x=216; y=24;facet=6
at x=224; y=24;facet=5
at x=201; y=25;facet=5
at x=225; y=25;facet=2
at x=208; y=26;facet=1
at x=215; y=26;facet=5
at x=216; y=26;facet=2
at x=224; y=26;facet=2
at x=201; y=27;facet=6
at x=216; y=27;facet=4
at x=24; y=28;facet=5
at x=215; y=28;facet=5
at x=216; y=28;facet=5
at x=217; y=28;facet=2
at x=26; y=29;facet=4
at x=215; y=29;facet=4
at x=222; y=29;facet=1
at x=223; y=29;facet=1
at x=223; y=30;facet=4
at x=0; y=32;facet=4
at x=204; y=32;facet=5
at x=204; y=36;facet=4
at x=226; y=36;facet=1
at x=228; y=36;facet=4
at x=7; y=37;facet=3
at x=39; y=37;facet=2
at x=226; y=37;facet=1
at x=168; y=38;facet=5
at x=208; y=38;facet=1
at x=40; y=39;facet=4
at x=42; y=39;facet=6
at x=163; y=40;facet=6
at x=195; y=40;facet=5
at x=227; y=40;facet=1
at x=43; y=41;facet=2
at x=162; y=41;facet=5
at x=192; y=41;facet=1
at x=43; y=42;facet=6
at x=162; y=42;facet=5
at x=43; y=43;facet=1
at x=195; y=43;facet=5
at x=213; y=43;facet=4
at x=230; y=43;facet=6
at x=187; y=44;facet=1
at x=203; y=44;facet=1
at x=213; y=44;facet=2
at x=190; y=45;facet=6
at x=196; y=45;facet=2
at x=204; y=45;facet=2
at x=58; y=46;facet=6
at x=202; y=46;facet=4
at x=211; y=46;facet=1
at x=54; y=47;facet=6
at x=201; y=47;facet=1
at x=216; y=47;facet=5
at x=45; y=48;facet=1
at x=55; y=48;facet=3
at x=56; y=48;facet=1
at x=193; y=48;facet=6
at x=197; y=48;facet=6
at x=199; y=48;facet=1
at x=201; y=48;facet=1
at x=219; y=48;facet=5
at x=220; y=48;facet=2
at x=56; y=49;facet=1
at x=57; y=49;facet=3
at x=58; y=49;facet=6
at x=64; y=49;facet=2
at x=204; y=49;facet=4
at x=52; y=50;facet=2
at x=55; y=50;facet=6
at x=58; y=50;facet=1
at x=59; y=50;facet=4
at x=187; y=50;facet=6
at x=195; y=50;facet=6
at x=201; y=50;facet=5
at x=204; y=50;facet=1
at x=220; y=50;facet=2
at x=221; y=50;facet=1
at x=54; y=51;facet=5
at x=56; y=51;facet=6
at x=191; y=51;facet=5
at x=192; y=51;facet=5
at x=197; y=51;facet=5
at x=202; y=51;facet=3
at x=204; y=51;facet=6
at x=212; y=51;facet=4
at x=220; y=51;facet=6
at x=55; y=52;facet=4
at x=57; y=52;facet=4
at x=195; y=52;facet=3
at x=199; y=52;facet=1
at x=213; y=52;facet=6
at x=215; y=52;facet=1
at x=45; y=53;facet=3
at x=54; y=53;facet=5
at x=55; y=53;facet=3
at x=58; y=53;facet=6
at x=199; y=53;facet=1
at x=58; y=54;facet=2
at x=210; y=54;facet=4
at x=212; y=55;facet=4
at x=58; y=56;facet=6
at x=189; y=56;facet=3
at x=195; y=56;facet=1
at x=200; y=56;facet=1
at x=201; y=56;facet=1
at x=211; y=56;facet=4
at x=56; y=57;facet=1
at x=55; y=58;facet=3
at x=192; y=58;facet=1
at x=134; y=59;facet=3
at x=137; y=59;facet=1
at x=190; y=59;facet=3
at x=196; y=59;facet=3
at x=198; y=59;facet=6
at x=200; y=59;facet=2
at x=177; y=60;facet=2
at x=206; y=60;facet=4
at x=211; y=60;facet=5
at x=135; y=61;facet=1
at x=194; y=61;facet=3
at x=207; y=61;facet=6
at x=210; y=61;facet=3
at x=211; y=61;facet=2
at x=21; y=62;facet=3
at x=166; y=62;facet=5
at x=206; y=62;facet=2
at x=65; y=63;facet=2
at x=67; y=63;facet=5
at x=68; y=63;facet=4
at x=71; y=63;facet=5
at x=135; y=63;facet=6
at x=165; y=63;facet=4
at x=202; y=63;facet=1
at x=165; y=64;facet=6
at x=190; y=64;facet=3
at x=200; y=64;facet=4
at x=202; y=64;facet=6
at x=17; y=65;facet=4
at x=65; y=65;facet=2
at x=67; y=65;facet=5
at x=68; y=65;facet=2
at x=70; y=65;facet=5
at x=88; y=65;facet=1
at x=133; y=65;facet=4
at x=165; y=65;facet=3
at x=17; y=66;facet=2
at x=65; y=66;facet=5
at x=66; y=66;facet=2
at x=69; y=66;facet=1
at x=189; y=66;facet=6
at x=17; y=67;facet=4
at x=19; y=67;facet=1
at x=65; y=67;facet=3
at x=68; y=67;facet=4
at x=188; y=67;facet=3
at x=208; y=67;facet=4
at x=11; y=68;facet=2
at x=19; y=68;facet=4
at x=65; y=68;facet=6
at x=66; y=68;facet=3
at x=68; y=68;facet=3
at x=136; y=68;facet=6
at x=198; y=68;facet=5
at x=65; y=69;facet=3
at x=72; y=69;facet=2
at x=134; y=69;facet=2
at x=62; y=70;facet=4
at x=63; y=70;facet=4
at x=200; y=70;facet=3
at x=19; y=71;facet=6
at x=61; y=71;facet=4
at x=198; y=71;facet=4
at x=61; y=72;facet=2
at x=62; y=72;facet=3
at x=83; y=72;facet=3
at x=137; y=72;facet=1
at x=196; y=72;facet=4
at x=198; y=72;facet=2
at x=228; y=72;facet=2
at x=63; y=73;facet=5
at x=117; y=73;facet=2
at x=63; y=74;facet=6
at x=73; y=74;facet=4
at x=84; y=74;facet=2
at x=118; y=74;facet=6
at x=135; y=74;facet=4
at x=193; y=74;facet=5
at x=65; y=75;facet=3
at x=55; y=76;facet=1
at x=63; y=76;facet=5
at x=191; y=76;facet=1
at x=192; y=76;facet=5
